sweep,di,dj,dk,r_mm,n_rv,n_lv,tau_rv,tau_lv,d_rv_lv,tau_rv_err,tau_lv_err,chi_rv,chi_lv,tail_rv,tail_lv,tail_d
grid3,-3,2,-2,6.748482870683732,2275222,1917756,1.5544529450186435,1.4356185931512548,0.11883435186738867,0.16539748911483082,0.1292834221805533,2.922398049032478,2.4301807520566268,2.0206299548699036,1.765136179753477,0.25549377511642657
grid3,-3,2,-1,6.117398732882455,2258469,1922300,1.5593747239625118,1.4435833299354428,0.11579139402706895,0.16628119163026647,0.12882788596823408,2.949236813358087,2.507514581357103,1.8026829467967258,2.6401225642715573,-0.8374396174748315
grid3,-3,2,0,5.892035527511571,2238350,1922316,1.5996290480658577,1.438850129692746,0.16077891837311165,0.17064758067180397,0.12511250513851366,2.8428651112049703,2.4561311692648675,1.761702312103836,1.8059801654086198,-0.04427785330478384
grid3,-3,2,1,6.117398732882455,2214893,1918944,1.59651889869495,1.4667431433806726,0.12977575531427732,0.1750802565357736,0.1315986282017578,2.8899572385259886,2.36459715456595,1.8053149783664055,2.0260750793680278,-0.22076010100162224
grid3,-3,2,2,6.748482870683732,2188506,1911809,1.6349891647971662,1.5064088181043738,0.1285803466927924,0.17760350097879762,0.13973759086567902,2.9267669716700713,2.378641448458129,1.8881618542785452,2.0332421885354184,-0.14508033425687317
grid3,-3,2,3,7.6859901153968595,2160378,1901384,1.6197417338743259,1.5581589665041318,0.06158276737019408,0.17499147566998058,0.14932023053494814,2.829469663272073,2.267322909675424,1.9884194361553327,1.678924268378456,0.3094951677768767
grid3,-3,3,-3,8.51325858787314,2215254,1899865,1.511353630836035,1.4323573426789882,0.07899628815704673,0.16073816617903317,0.13137753029070148,2.8206469866510666,2.453009536698118,2.0080116282781506,2.2107923838444195,-0.20278075556626884
grid3,-3,3,-2,7.677444157135192,2201756,1907872,1.5170941526616122,1.4244588710676063,0.09263528159400591,0.16676814222562608,0.12981324569462677,2.798455841503923,2.4424880352718543,1.850115179280023,1.8174512922433765,0.032663887036646466
grid3,-3,3,-1,7.1290739221226636,2185194,1913043,1.6182255877066734,1.4146404122509941,0.20358517545567922,0.18518294882380631,0.12485945161192029,2.8155475845147255,2.481886528860186,1.9429137717842586,1.6821147775339274,0.26079899425033126
grid3,-3,3,0,6.936657003735742,2165642,1914388,1.6154359087962504,1.462909153582687,0.1525267552135634,0.17999530471726136,0.13025210351769587,2.758715124955027,2.4125420527052834,1.883251477474397,2.060763301393773,-0.17751182391937625
grid3,-3,3,1,7.1290739221226636,2142868,1911767,1.597821017888636,1.4396987493370452,0.15812226855159084,0.1777157090763964,0.13129711865051907,2.9310963655299718,2.264497611579537,1.8711472248955783,2.077275235129191,-0.2061280102336127
grid3,-3,3,2,7.677444157135192,2117876,1905587,1.6305255936518366,1.4907896884229286,0.139735905228908,0.1792300800207304,0.139521546653744,2.8383509773584663,2.2799765634873723,1.9311359200490232,1.8774753010623675,0.05366061898665575
grid3,-3,3,3,8.51325858787314,2090134,1896420,1.6231505197884304,1.5011230711624284,0.12202744862600201,0.17646734771558528,0.14261412574338383,2.9054837125814355,2.190207661947817,1.992801099546068,2.014239187667111,-0.021438088121042975
grid3,-2,-3,-3,7.690573188353096,2563155,1931666,1.6346574026812901,1.437969578647973,0.1966878240333172,0.16296922850438494,0.1391118584200866,2.906104297071679,2.2946272197048936,1.8816806816938867,1.898599129632358,-0.016918447938471415
grid3,-2,-3,-2,6.753702167504058,2546348,1933812,1.5953315697345583,1.4195099728242682,0.1758215969102901,0.1588066159201218,0.13606852460478774,2.9019445163433684,2.328251834557301,1.982643970555455,1.8250147894566033,0.1576291810988517
grid3,-2,-3,-1,6.123155981069659,2526017,1932845,1.5595581229406068,1.4142063131519529,0.14535180978865392,0.14620736746493632,0.13773860708707675,2.870563669613361,2.2896232434620227,1.904428357342411,1.6050099552651986,0.2994184020772124
grid3,-2,-3,0,5.898012764389023,2501589,1927219,1.6764748830683212,1.4661977442329823,0.21027713883533883,0.1622792595390832,0.14859522709543696,2.760597569321924,2.3034176264361497,1.9859139885925225,1.6966915088873133,0.2892224797052092
grid3,-2,-3,1,6.123155981069659,2473564,1917796,1.6940281560856136,1.4852651622020712,0.20876299388354247,0.1677248421819485,0.14730500384212078,2.678216797540227,2.2440065020899755,2.0186896588052177,1.611366033034938,0.4073236257702797
grid3,-2,-3,2,6.753702167504058,2443386,1905735,1.7496524846469368,1.514510454987701,0.2351420296592357,0.17584196458670887,0.1526125627657455,2.6788430561516896,2.277015128689714,2.2142729872287874,1.521542625096839,0.6927303621319485
grid3,-2,-3,3,7.690573188353096,2410795,1889859,1.7630651729673634,1.4603565904315072,0.3027085825358562,0.1799958347286237,0.14251937732828324,2.717040612856084,2.2546160255275907,2.056168342731761,1.564987385929731,0.4911809568020302
grid3,-2,-2,-3,6.763415426794213,2524617,1936518,1.5991047495152702,1.422839394170158,0.17626535534511212,0.15836228862702334,0.1360739892445034,2.7952348036610863,2.2886681424273294,1.985209695348533,1.623518212036247,0.36169148331228596
grid3,-2,-2,-2,5.675505725248761,2509006,1939861,1.608411807073288,1.4271160393054452,0.18129576776784284,0.15602518086950246,0.13639614731735997,2.829934990707449,2.309757190450864,1.8914691840058864,1.5956487024297432,0.29582048157614316
grid3,-2,-2,-1,4.908351193475419,2489474,1939111,1.6012085140721553,1.4383145129715773,0.16289400110057795,0.1547457497618105,0.13843957618225336,2.863713866634664,2.4108258879396147,1.8591400154202833,1.6501478842248674,0.20899213119541593
grid3,-2,-2,0,4.6244380024904945,2465337,1934513,1.6891787895324313,1.4890695194335286,0.20010927009890267,0.16611332871296453,0.1481153242640607,2.7694590528588923,2.387222920943932,1.9100715564116526,1.7041663174453887,0.2059052389662639
